car_type,export_production,date,value
Passenger cars,Production,1/07/2015,533264
Passenger cars,Production,1/08/2015,338834
Passenger cars,Production,1/09/2015,538149
Passenger cars,Production,1/10/2015,529856
Passenger cars,Production,1/11/2015,518512
Passenger cars,Production,1/12/2015,329975
Passenger cars,Production,1/01/2016,416983
Passenger cars,Production,1/02/2016,529061
Passenger cars,Production,1/03/2016,523210
Passenger cars,Production,1/04/2016,550158
Passenger cars,Production,1/05/2016,445393
Passenger cars,Production,1/06/2016,563546
Passenger cars,Production,1/07/2016,410630
Passenger cars,Production,1/08/2016,410256
Passenger cars,Production,1/09/2016,529463
Passenger cars,Production,1/10/2016,464434
Passenger cars,Production,1/11/2016,535180
Passenger cars,Production,1/12/2016,368494
Trucks,Production,1/01/2008,25412
Trucks,Production,1/02/2008,28381
Trucks,Production,1/03/2008,27083
Trucks,Production,1/04/2008,32175
Trucks,Production,1/05/2008,25918
Trucks,Production,1/06/2008,28591
Trucks,Production,1/07/2008,25323
Trucks,Production,1/08/2008,24331
Trucks,Production,1/09/2008,29329
Trucks,Production,1/10/2008,24756
Trucks,Production,1/11/2008,18562
Trucks,Production,1/12/2008,11065
Trucks,Production,1/01/2009,12277
Trucks,Production,1/02/2009,9334
Trucks,Production,1/03/2009,13133
Trucks,Production,1/04/2009,10349
Trucks,Production,1/05/2009,12879
Trucks,Production,1/06/2009,14238
Trucks,Production,1/07/2009,12826
Trucks,Production,1/08/2009,12165
Trucks,Production,1/09/2009,18601
Trucks,Production,1/10/2009,20106
Trucks,Production,1/11/2009,17875
Trucks,Production,1/12/2009,13845
Trucks,Production,1/01/2010,14349
Trucks,Production,1/02/2010,17655
Trucks,Production,1/03/2010,20594
Trucks,Production,1/04/2010,19105
Trucks,Production,1/05/2010,18591
Trucks,Production,1/06/2010,21773
Trucks,Production,1/07/2010,19710
Trucks,Production,1/08/2010,10444
Trucks,Production,1/09/2010,23025
Trucks,Production,1/10/2010,20866
Trucks,Production,1/11/2010,27080
Trucks,Production,1/12/2010,17494
Trucks,Production,1/01/2011,19977
Trucks,Production,1/02/2011,21555
Trucks,Production,1/03/2011,23891
Trucks,Production,1/04/2011,21584
Trucks,Production,1/05/2011,25242
Trucks,Production,1/06/2011,19651
Trucks,Production,1/07/2011,20441
Trucks,Production,1/08/2011,19684
Trucks,Production,1/09/2011,27674
Trucks,Production,1/10/2011,24456
Trucks,Production,1/11/2011,29416
Trucks,Production,1/12/2011,21459
Trucks,Production,1/01/2012,21618
Trucks,Production,1/02/2012,21703
Trucks,Production,1/03/2012,24872
Trucks,Production,1/04/2012,17889
Trucks,Production,1/05/2012,22248
Trucks,Production,1/06/2012,23178
Trucks,Production,1/07/2012,20078
Trucks,Production,1/08/2012,19069
Trucks,Production,1/09/2012,25366
Trucks,Production,1/10/2012,24434
Trucks,Production,1/11/2012,24850
Trucks,Production,1/12/2012,15496
Trucks,Production,1/01/2013,19743
Trucks,Production,1/02/2013,21021
Trucks,Production,1/03/2013,24014
Trucks,Production,1/04/2013,25375
Trucks,Production,1/05/2013,23212
Trucks,Production,1/06/2013,26161
Trucks,Production,1/07/2013,20857
Trucks,Production,1/08/2013,21898
Trucks,Production,1/09/2013,25196
Trucks,Production,1/10/2013,23137
Trucks,Production,1/11/2013,29256
Trucks,Production,1/12/2013,18448
Trucks,Production,1/01/2014,25329
Trucks,Production,1/02/2014,23337
Trucks,Production,1/03/2014,24855
Trucks,Production,1/04/2014,27804
Trucks,Production,1/05/2014,27494
Trucks,Production,1/06/2014,28063
Trucks,Production,1/07/2014,25655
Trucks,Production,1/08/2014,20743
Trucks,Production,1/09/2014,29240
Trucks,Production,1/10/2014,26320
Trucks,Production,1/11/2014,25247
Trucks,Production,1/12/2014,19435
Trucks,Production,1/01/2015,27071
Trucks,Production,1/02/2015,26000
Trucks,Production,1/03/2015,30193
Trucks,Production,1/04/2015,27932
Trucks,Production,1/05/2015,24309
Trucks,Production,1/06/2015,29727
Trucks,Production,1/07/2015,22937
Trucks,Production,1/08/2015,19059
Trucks,Production,1/09/2015,31125
Trucks,Production,1/10/2015,32696
Trucks,Production,1/11/2015,31496
Trucks,Production,1/12/2015,22681
Trucks,Production,1/01/2016,24202
Trucks,Production,1/02/2016,28822
Trucks,Production,1/03/2016,27792
Trucks,Production,1/04/2016,28587
Trucks,Production,1/05/2016,26259
Trucks,Production,1/06/2016,29962
Trucks,Production,1/07/2016,23481
Trucks,Production,1/08/2016,16152
Trucks,Production,1/09/2016,30938
Trucks,Production,1/10/2016,27109
Trucks,Production,1/11/2016,28935
Trucks,Production,1/12/2016,23515
